Post,Comments
"#HappeningNow In the ongoing Dunya EduFest 2019, ITU is participating as their platinum partners. The educational festival comprises of various contests including National Debating Championship 2019, Business Plan Competition 2019, Short Film Competition and Cooking Competition.  Worthy guests who paid a visit to the festival included:",{}
"Research Publication:  Muhammad Afnan Ansari's (PhD Student-Dept. of Electrical Engineering) PhD research paper titled, ""Engineering Spin and Antiferromagnetic Resonances to Realize Efficient Direction-multiplexed Visible Meta-hologram"" has been published in the journal: Nanoscale Horizons. It is a leading journal for the specializing in urgent short reports on exceptionally high quality, innovative nanoscience & nanotechnology (IF = 9.095).","{'Mariell Jdp': {}, 'Najam Abbas': {}}"
"Dunya News in collaboration with ITU hosted a British Parliamentary Style moot today. In the ongoing knock-out round, participating teams came out with their best sides.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed",{}
"""There is no power on earth that can undo Pakistan""- Quaid-e-Azam Muhammad Ali Jinnah (October 30, 1947, Lahore) Zaheer Sarwar Farzana Shahid Hajira Kureshi",{'Adeel Shuja': {'text': 'any news about 2nd merit list of MS???'}}
,{'Adeel Shuja': {'text': 'khair mubarakwhats about second list of MS????'}}
"Members of IEEE Lahore region earlier visited ITU and conducted a training session for IEEE ITU Student Branch's core team on branch activities, official reporting protocols of IEEE and benefits of IEEE membership.  Mr. Tanweer Bukhari (Chair, Student Activities Committee, Lahore Region - Assistant Professor, University of South Asia) and Mr Muhammad Usman Ali (General Secretary, Lahore Region) were among the visiting members of IEEE Lahore region.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Saira Rafique IEEE ITU Student Branch","{'Mawahid Husnain': {}, 'Jam Tariq': {}}"
" Chairperson Electrical Engineering Department, Dr. Junaid Qadir, earlier conducted OBE training session attended by members of faculty and lab engineers. ",{'Adeel Arshad': {}}
"Professional Development Center today organized a certificates distribution ceremony on completion of its exciting short courses and certification training held this summer at ITU.  Chief Guest, Ms. Hajira Kureshi- Director Admissions, appreciated tremendous efforts of PDC team and congratulated the successful participants.  PDC team extended a special thanks to worthy registrar, Mr. Zaheer Sarwar, for his continuous support and encouragement.",{}
"Paper Acceptance:  ITU Fintech Center's paper titled ""Towards Digitization of Collaborative Savings Among Low-Income Groups"" has been accepted for publication at the 22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing (CSCW) 2019.  This is the first ever paper to CSCW from Pakistan and its based on the center's work around Digitization of Rotating Savings and Credit Associations (ROSCAs) in Pakistan.  The research paper has been co-authored by Hami...d Mehmood, Tallal Ahmad, Lubna Razaq and Dr. Agha Ali Raza. It is a collaborative research between Information Technology University and the University of Washington and was funded by Karandaaz Pakistan. About CSCW: http://cscw.acm.org/2019/ With a Core index of A and Google h5 index of 60, the ACM Conference on Computer-Supported Cooperative Work & Social Computing is the premier international venue for research in the design and use of technologies that affect groups, organizations, communities, and networks.  The conference will be hosted at Austin, Texas in November this year. Zaheer Sarwar Farzana Shahid Hajira Kureshi Lubna Razaq Hamid Mehmood Tallal Ahmad","{'Khurram Shahzad': {}, 'Usman Shahzad': {}}"
" On completion of short courses and certification training, a certificates distribution ceremony is set to be hosted by Professional Development Center.  Chief guest, Ms. Hajira Kureshi-Director Admissions at ITU, will share her thoughts and distribute certificates among participants. ... Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Sundus Irza",{}
,{}
,{}
"A glimpse from a visit by female cricket stars of Pakistan, Iram Javed and Aliya Riaz, in our show 'Sham se Pehle' at ITU FM90.4 Zaheer Sarwar Farzana Shahid Hajira Kureshi Rukhe Zahra Naqvi",{'Muhammad Zafar Iqbal': {}}
"#HappeningNow Tune in to ITU FM 90.4 and meet your favorite female cricket stars of Pakistan, Iram Javed and Aliya Riaz in our show 'Sham se Pehle' with RJ Seemal. Zaheer Sarwar Farzana Shahid Hajira Kureshi Rukhe Zahra Naqvi Ali Bukhari",{}
"Are you a cricket lover? If yes, then tune in to ITU FM 90.4 tomorrow at 2.30 PM to meet your favorite female cricket stars of Pakistan, Iram Javed and Aliya Ri...az in our show 'Sham se Pehle' with your very own RJ Seemal. ",{}
" U.S. Counsel General Miss Coleen Crenwelge, Public Affairs Officer Michael Guinan and his successor Jared Yancey were present at the event along with Mrs. Farzana Shahid, Director Academics, ITU.  The young campers displayed their project manuals and slide decks and demonstrated their w...orking projects to our esteemed guests. Both batches had come up with some creative and innovative  projects that were thoroughly enjoyed and appreciated by our guests. Lincoln Corner's visitors were also briefed by the students about how and why they chose to built those specific projects and the real life applications of their projects.  We started off with Soft Skills including Leadership Development, Communication Skills, Confidence Building, Identity, Design thinking and Prototyping and then technology. From building motion sensing lamps, to hurdle detecting cars, from coming up with home automation projects to controlling a car through mobile apps, the campers have come a long way from when they started 6 weeks back. These young campers who belonged to different schools learnt the  basics to electronics, from where they gradually moved to introductions to app building and using MIT App Inverter, making 3D objects using SolidWorks, learning to use Arduino and much much more!",{}
Lincoln Corner Lahore successfully concluded its two-day digital citizenship workshop: Tech Camp: Engaging Youth Through Technology.  Get a galnce at highlights of the camp in a video put together by ITU Media Team.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore,{}
"Congratulations to Dr. Saeed Ul Hassan on completing his successful visit to Manchester Metropolitan University in the UK as a visiting researcher to jointly write a Global Challenge Research Fund (GCRF) on the applications  of Artificial Intelligence for Sustainability and Social Good.  During his visit, he showcased research strengths of ITU at MMU and helped strengthen collaborations across the research groups. https://itu.edu.pk/faculty-itu/dr-saeed-ul-hassan/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Saeed Ul Hassan","{'Shazia Siddique': {}, 'Usman Ali Bhatti': {}}"
"The 6th week of the Technology Summer Camp 2k19, organized by Lincoln Corner, a project of ITU and U.S. Consulate Lahore, came to an end today.  This week was all about the young campers finalizing their project manuals, making their slide decks and completing their projects. Both the batches have come up with some creative and innovative  projects that they will display on their Graduation Ceremony on July 30th. Today Elizabeth Lee, Deputy Public Affairs Officer with the U.S.... Consulate Lahore visited Lincoln Corner to overview the projects. She got briefed by the students about how and why they chose to built those specific projects and the real life applications of their projects. The Campers also gave her live demonstrations and shared with enthusiasm about their camp journey.  From building motion sensing lamps to hurdle detecting cars; from coming up with home automation projects to controlling a car through mobile apps, the campers have come a long way from when they started 6 weeks back.  Their journey started with learning the basics to electronics, from where they gradually moved to introductions to app building and using MIT App Inverter, making 3D objects using SolidWorks, learning to use Arduino and much more that they will discuss and display on their upcoming graduation. Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore",{}
Undergraduate first merit lists 2019 have been announced. Visit the link below.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed https://itu.edu.pk/…/undergraduate-1st-merit-lists-2019-ha…/,"{'Asif IjAaz': {'text': ""i'm excited for MS merit lists when you will announce that""}, 'Khurram Shahzad': {'text': 'Matric 1006,Fsc Part 1* 382 and ITU test ** 53 marks, any chance to come name in upcoming merit lists???'}}"
"Catch a quick look at one of the sessions from the ongoing short course on Film-making (Photography, Videography and Editing) being taught by Bilal Qureshi.  See: https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Bilal H.Qureshi Zeeshan Ahmad Sundus Irza",{}
#HappeningNow Tune in to ITU FM90.4 and listen to our honorable guest actor and TV host Noor-ul-Hassan.   Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari Rukhe Zahra Naqvi ITU FM 90.4,{}
"Meet Noor-ul-Hasan, the famous TV drama actor and host, in our show 'Sham se Pehle' with RJ Seemal only on ITU FM 90.4 tomorrow at 2:30 PM. Don't forget to tune in!","{'Abdul Fawad Adil': {}, 'Adnan Ahmed': {}}"
"Two-day workshop, “How to Talk to Your Data: Data Processing and Visualization” organized and hosted by faculty of Electrical Engineering concluded earlier at ITU.  The workshop was led by Engg. Dr. Sohaib Abdul Rehman and Dr. Ammar Ahmed Khan.   Zaheer Sarwar Farzana Shahid Hajira Kureshi Tauseef Tauqeer Saira Rafique",{'Abubakar Ali': {'text': 'Mana hisab lagay student shaid 1 2 he ha.'}}
Day two of Undergraduate Admission Tests 2019 is underway at ITU!  Wishing good luck and success to our potential new entrants.  Zaheer Sarwar Farzana Shahid Hajira Kureshi,"{'Nouman Muzaffar': {'text': 'Zaheer Sarwar result toh announce kr dein , 23 July khttm hone mein srf 3 ghnte or 44 minute reh gye hein.. ⁉️'}, 'Tahir Mahmood': {'text': 'Wishing all the best for contestents.'}}"
Glimpses from Day 1 of Undergraduate Admission Tests at ITU.  Wishing success and best luck to potential new entrants!  Zaheer Sarwar Farzana Shahid Hajira Kureshi,"{'CH Rubani': {}, 'Muhammad Adeel Irfan': {'text': 'Sir result kaab aie ga???'}}"
" At the launching ceremony, besides Dr. Hussain, other panelists include Dr. Rubina Saigol, Raza Rumi and Bilal Zahoor. Zaheer Sarwar Farzana Shahid Hajira Kureshi Daim Raza",{}
"#HappeningNow Catch our Human Resource Manager, Ms. Kiran Anwar, live on ITU FM90.4 right now as she touches upon interesting aspects of HR and ongoing initiatives.   Zaheer Sarwar Farzana Shahid Hajira Kureshi Rukhe Zahra Naqvi Ali Bukhari ITU FM 90.4",{'Imran Ali': {}}
"Are you a fresh graduate or applying first time for a job? Are you looking for motivation for professional development?  Then tune in to ITU FM 90.4 at 2:30 PM ...today and meet Ms. Kiran Anwar, HR Manager ITU, for some excellent tips and tricks on job interview, employee engagement, ITU's HR culture and a perspective on human resource policies. ",{'Aqsa Khan': {'text': 'Itu gat test for ms has been announced or not'}}
"Information Technology University's Syndicate Meeting was held  on July 15, 2019. The meeting was chaired by Dr. Niaz A. Akhtar (SI), Vice Chancellor, ITU.  Members in attendance included Ms.Khadija Umer (MPA), Mr. Muhammad Kashif (MPA), Dr. Fazal Ahmad Khalid (Chairperson Punjab Higher Education Commission), Dr. Naveed A. Malik (Member, HEC Islamabad), Dr. Jawaid A. Ghani (Professor, KSBL), Mr. Sajid Latif (DG, PITB) and representatives of Finance and Higher Education Depart...ment, Government of the Punjab.  In addition, other participants from ITU faculty were Dr. Akmal Hussain (Dean, Faculty of Humanities and Social Sciences), Dr. Tauseef Tauqeer (Dean, Faculty of Engineering), Dr. Faisal Kamiran (Dean, Faculty of Science), Dr. Shahzib Ehsan Shaikh (Chairperson, Management & Business Studies), Dr. Junaid Qadir (Chairperson, Electrical Engineering Department), Dr. Rehan Hafiz (Chairperson, Computer Engineering Department) and Mr. Zaheer Sarwar (Registrar).  The Syndicate reviewed and appreciated the progress and quality of various education programs being offered by ITU. The syndicate also approved various academic policies and the budgetary estimates of 2019-2020. Zaheer Sarwar Farzana Shahid Hajira Kureshi",{}
"Third week into our ongoing summer short courses and certification training, students get-the-hang-of newly acquired skills and put them to practice and demonstration.   Here catch a glimpse of one of the sessions in our film-making course being taught by Bilal H.Qureshi.   See: https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Sundus Irza",{}
"Journal Paper Acceptance:  Dr. Usman Younis, Assistant Professor at the Department of Electrical Engineering, has written a paper titled, “High Coupling Efficiency 2D Metasurface Integrated with Strip Waveguide in SOI for Mid-IR Wavelengths”. It has been accepted for publication in the journal IET Optoelectronics. Research Assistant Asif Bilal also contributed along with Dr. Younis.  Paper Abstract:  Two-dimensional (2D) metasurface integrated with strip waveguide in silicon-...on-insulator (SOI) has been designed to achieve high coupling efficiency for 3.8 μm wavelength. The optimisation in period and radius has been achieved using 3D FDTD. The calculated coupling efficiency in the in-plane waveguide for the out-of-plane surface illumination is over 90% with a bandwidth of 1 μm. The design is consistent with the available lithography using 400 nm thick SOI for mid-IR applications. Finally, monolithic integration can be achieved using standard multi-project wafer run. See: https://digital-library.theiet.org/…/iet-opt.2018.5146;jses… Zaheer Sarwar Farzana Shahid Hajira Kureshi Usman Younis Tauseef Tauqeer",{}
"ITU earlier successfully conducted entrance test consisting of exams on following education streams:  PhD (Computer Science), MS (Computer Science ), MS (Data Science), PhD (Electrical Engineering), MS (Electrical Engineering), MS Development Studies (Development, Technology & Policy). ","{'Mian Muneeb Fida': {'text': 'Closing Merit for MSDS/MSCS for fall 2018 (Last year)?'}, 'Apna Printing Press Vehari': {'text': 'How to prepare for bscs entry test???'}}"
"Lincoln Corner Lahore, a partnership project between ITU and U.S. Consulate Lahore, collaborated with Pak-US Alumni Network Lahore chapter and organized a three hours long workshop titled 'Know Your Strength'. ",{}
#HappeningNow ITU Graduate Admission Test 2019 is underway.  Best of luck and success to potential new entrants!  Zaheer Sarwar Farzana Shahid Hajira Kureshi,"{'Abbas Kazmi': {'text': 'Can any body tell me which course (intermediate or something else)to learn for entry test.'}, 'Ashas Ahmad': {'text': 'Can anyone tell me how to create the online ITU account in order to start the online admission?'}}"
Catch glimpses from day 2 of Tech Camp successfully concluded earlier at ITU.,{'M Ashar Ghaffar': {}}
Academics Office today hosted an orientation meeting ahead of the upcoming entrance tests at ITU.  Zaheer Sarwar Farzana Shahid Hajira Kureshi,{}
"In the ongoing course on Filmmaking that is being taught by Bilal Qureshi, students discussed cinematography and photography! Zaheer Sarwar Farzana Shahid Hajira Kureshi Bilal H.Qureshi",{}
Actor Ali Tahir earlier appeared in ITU FM Radio90.4's show 'Sham Se Pehle' as a special guest.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Rukhe Zahra Naqvi Ali Bukhari ITU FM 90.4,{'Babar Maqbool': {'text': 'Sir admsn kb open ho rhy please tell me'}}
" Dr. Usman Younis, Assistant Professor at the Department of Electrical Engineering, presented his paper titled, “High coupling efficiency surface illuminated 2D metasurface waveguide coupler for mid-IR wavelengths” at the conference, SPIE Optics + Optoelectronics 2019 in Prague, Czech Republic.  Research Assistant Asif Bilal also contributed along with Dr. Younis.  Paper Abstract: ... 2D metasurfaces are increasingly being used for integrated Optoelectronics applications. Our work on the design of a high efficiency mid-IR coupler using 2D metasurface integrated with low-loss waveguides demonstrates the opportunities of novel coupling techniques and guided-wave/free-space optics integration. Proceedings and online recording available at: https://www.spiedigitallibrary.org/…/10.1…/12.2520405.short… Zaheer Sarwar Farzana Shahid Hajira Kureshi Usman Younis Tauseef Tauqeer","{'Sehrish Khan': {}, 'Babar Maqbool': {'text': 'Sir IT k ly admsn kb open ho gy?'}}"
"Celebrated singer Jawad Ahmad earlier appeared in ITU FM Radio90.4's show, 'Sham se Pehle'!  Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari Rukhe Zahra Naqvi ITU FM 90.4",{'M Ijaz Ali': {}}
Mobile Development (Android) short course being taught by Syed Basit Ali Jafri. Instructor Profile: https://itu.edu.pk/faculty-itu/syed-basit-ali-jafri/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad Sundus Irza,{}
"ITU FM 90.4 hosted an informative session on economics and data science with Chairperson of Economics Department, Dr. Izza Aftab, today!  Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari Rukhe Zahra Naqvi RJ Seemal","{'Vihari Anand': {}, 'Aftab Ali': {}}"
"Glance at second half of the first day of the ongoing digital citizenship workshop titled, ""Engaging Youth Through Technology"" organized by Lincoln Corner Lahore at ITU.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore",{'Ameer Hamza': {'text': 'Can outsiders attend or it is just for ITU students?'}}
"Dr. Mohsen Ali, Assistant Professor at the Department of Computer Science, attended the workshop, ""Computer Vision 4 Global Challenges"" at IEEE Conference on Computer Vision and Pattern Recognition 2019. He presented on his proposal, ""Intelligent Crop Health & Pest Detection"".  As PI of the project, Dr. Ali collaborated with Dr. Waqas Sultani  who is an Assistant Professor at the Department of Computer Science at ITU. The proposal was accepted after a rigorous review process of more than 100 applications.  Computer Vision for Global Challenges (CV4GC) initiative is a multi-stakeholder effort, led by Facebook Artificial Intelligence, and University of Edinburgh, among others.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Mohsen Ali Faisal Kamran Aleena Khan","{'Farah Nisar': {}, 'Waqas Halim': {}}"
Do you want to read the latest edition of your favorite magazines?  Here catch a glimpse of some the New Arrivals at ITU Library.  Zaheer Sarwar Farzana Shahid Hajira Kureshi,{}
Catch glimpses from the ongoing short course on Web Development at ITU being taught by Zain Mehmood.  See: https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zain Mehmood Zeeshan Ahmad,{'Usama Arshad Ch': {'text': 'R kn kn sy short course krwa rahi hy itu'}}
" Project Abstract:  In this project, we propose to develop sustainable and cost effective free space optical access transceivers which meet the bandwidth requirements of at least 100 Mbps in full-duplex data transmission. The need to develop this system is to meet the bandwidth requireme...nts of access networks, especially in the bandwidth deprived parts of our country. This technology can directly benefit a number of institutes and social enterprises with applications such as: 1) providing/extending access to internet/intranet for schools, 2) remote monitoring surveillance, 3) tele-health access points, 4) local telco/community ISP extensions, and 5) connecting multiple offices/buildings. Zaheer Sarwar Farzana Shahid Hajira Kureshi Usman Younis Tauseef Tauqeer","{'Siraj Khan': {}, 'F Sajid Nazir': {}}"
#HappeningNow Tune in to ITU FM90.4 and don't miss out on an exciting interaction with a celebrated actor and our guest today!  Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari Rukhe Zahra Naqvi ITU FM 90.4,{}
"Tune in to ITU FM 90.4 today at 2:00 PM and get to know and interact with the famous TV actor and our guest, Ali Tahir.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari Rukhe Zahra Naqvi ITU FM 90.4",{'MA Baker': {}}
" Approaching the end of the third week, Lincoln Corner invited the Science Fuse team to conduct a science show for the participants. Their science shows called 'Fascinating Forces' engaged, educated and entertained the campers using storytelling and live demonstrations with science as the underlying theme. The show was based on... the theme of forces, Sir Isaac Newton and his three laws of motion. The show comprised of a series of fun demonstrations based around fire, rockets and forces. Science Fuse is a social enterprise working to change how science is perceived and communicated both inside and outside classrooms in Pakistan. They curate informal STEM (science, technology, engineering and mathematics) learning programs for children from diverse socioeconomic backgrounds to nurture their interest and understanding of STEM education and careers.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore","{'Afnan Khan': {}, 'Saim Iqbal': {}}"
"Paper Presentation:  Dr. Muddasir Shabbir’s full paper has been accepted for presentation at IEEE ACC Conference on Control Systems 2019. The paper is titled, “On the Trade-off between Controllability and Robustness in Networks of Diffusively Coupled Agents”.    ACC is one of the most prestigious conferences in the field of Control Systems and offers a valuable opportunity for researchers, educators, and practitioners to share their experiences and innovative developments. Au...thor’s profile: https://itu.edu.pk/faculty-itu/muddasir-shabbir/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Faisal Kamran Aleena Khan","{'Babar Maqbool': {'text': 'Sir i want to get admision in cs please help me.'}, 'Abdur Rafay': {'text': 'Test ki date kia hy?'}}"
"ITU is organizing an exciting two-day workshop on the subject, “How to Talk to Your Data: Data Processing and Visualization”. This course consists of following contents: -Data Processing, Management and Visualization using open source state-of-the-art software -Introduction to Graphics... -Software Tools: Python and Calc for data processing, inkspace for data visualization  Course Registration Fee: Rs. 5000/ (70% discount on valid student id) For registration: https://forms.gle/xAHKat5Y9XHvjQtc7 Zaheer Sarwar Farzana Shahid Hajira Kureshi Tauseef Tauqeer","{'M Saleem': {}, 'SOoraj KuMar': {'text': 'Is there any campus in Hyderabad?'}}"
"Participants of the ongoing short course on Robotics learn about basics of robotics, tools and technologies needed to make robots of different kinds.  See: https://itu.edu.pk/sct/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad","{'Danish Hashmi': {'text': 'I NEED SOME INFO'}, 'Amir Sadiq': {}}"
Get a glimpse of the ongoing course on mindful happiness. ,{}
"#HappeningNow Meet Raza Rumi, famous Policy Analyst, Journalist and Author, in our show 'All About ITU' in conversation with Dr. Fahd Ali and Ms. Maha Kamal abo...ut the intellectual journey of Raza Rumi.  Tune in now ITU FM 90.4! ",{}
#JoinITU Admissions Deadline: 04 July 2019 Apply online: https://itu.edu.pk/  Zaheer Sarwar​ Farzana Shahid​ Hajira Kureshi​ Adeel Ahmed,"{'Ashas Ahmad': {'text': 'Can anyone tell me how to create an ITU online account to fill the admission?'}, 'Ameer Hamza': {'text': ""I have applied to ITU but hadn't received my admit card yet. NO Response from you. Please reply.""}}"
" Dr. Saeed Ul Hassan's article has been accepted for publication in International Journal of Intelligent Systems - a top tier journal in the field of Artificial Intelligence with an Impact Factor of 7.229, entitled ""Virtual learning environment to predict withdrawal by leveraging deep learning"".  https://onlinelibrary.wiley.com/doi/full/10.1002/int.22129... Zaheer Sarwar Farzana Shahid Hajira Kureshi Saeed Ul Hassan Faisal Kamran","{'Muhammad Kamran': {}, 'Zahra Atiq': {}}"
 This week the first session was on MIT App Inventor. Students installed the app in their phones and tested the app by making a circuit using Arduino. They also learnt how to control Servo Motor’s rotation using the Android App.,{'Hamza Ahmed': {'text': 'Joining process?'}}
#HappeningNow Tune in to ITU FM90.4 right away!  Zaheer Sarwar Farzana Shahid Hajira Kureshi Ali Bukhari Rukhe Zahra Naqvi,{}
#JoinITU Admissions Deadline: 04 July 2019 Apply online: https://itu.edu.pk/  Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,{'Misbah Ul Hassan Khan': {'text': 'MS week end?'}}
"Catch glimpses from the ongoing short course: Graphic Designing (Product Design, UI/UX, Graphics). ",{'Ali Sheikh': {}}
"Are you missing your favorite singers? Let's meet our very own Jawad Ahmad and listen his all time hit songs, tomorrow at 2 PM with RJ Seemal in our show ""Sham ...se Pehle"" only on ITU FM 90.4  Don't forget to tune in! #JawadAhmad #PopMusic #ShamSePehle #ITUFM90.4",{}
#JoinITU Admissions Deadline: 04 July 2019 Apply online: https://itu.edu.pk  Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Majid Yaseen': {'text': 'aoa sir... can job holders apply for phd? Regards'}, 'Presha Khan': {}}"
" In this week the camp started off with basics to electronic and coding. The students got a chance to get some hands on experience using Snap Circuit kits. Later they were introduced to coding and had a full day dedicated on A...rduino, a micro-controller and what its applications are. On the last day of the 2nd week, they worked on making their own apps using App Invertor.   Similarly the morning batch, comprising of high-school students from private sector, learnt about MIT App Inventer. They made their own apps to control a light through Bluetooth connectivity and installed the app in there android phones as well. In the afternoon session,our second batch of campers- students of St Joseph and Mary School Youhanabad- picked up further on electronic concepts and how a circuit works.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore","{'Ameer Hamza': {'text': ""I have applied to ITU but haven't received my admit card yet. NO Response from you. Please reply.""}}"
Our admissions team represent ITU at The News Education Expo 2019. Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,{'M Ashar Ghaffar': {}}
 Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Xheikh Arsalan': {}, 'Uzair Ahmad': {'text': 'Engr Liaqat Khan..time der lg pte dy admission oka😜'}}"
 Instructor Profile: https://itu.edu.pk/faculty-itu/syed-basit-ali-jafri/ Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad,{}
Short courses and certification trainings are underway at ITU. ,"{'Muhammad Ali Umair': {}, 'Asif Mehmood': {'text': ""What about Java language certification or short course.  If ya offer, what's the duration of it plus how much is the fee.""}}"
 Admissions Open Fall ‘19. Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'EN Khan': {'text': 'Plz tell whats future of this degree?'}, 'George Maslh': {}}"
" Offered by the School of Humanities and Social Sciences, the program features Economics and Data Science in one undergrad degree.  As her initiative inspires others and makes waves, ITU wishes the Econ. Department Head best in her pursuits. ... Zaheer Sarwar Farzana Shahid Hajira Kureshi",{'Syed Imran Ali': {'text': 'Data Sci in Economics used to be known as Econometrics'}}
 Join us at this intercative course led by Dr. Ibrahim Siawash!  See: https://itu.edu.pk/sct Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad,{}
QEC at ITU hosted a seminar on Mental Health Awareness today. ,{'Waseem Rasool': {}}
" In the ongoing course on Filmmaking that is being taught by Bilal Qureshi, students discussed and studied script writing and screenplay today! Zaheer Sarwar Farzana Shahid Hajira Kureshi Bilal H.Qureshi",{'Iqra Khan': {}}
"Lincoln Corner Lahore, a partnership project of Information Technology University and U.S. Consulate Lahore, collaborated with United States Educational Foundation Pakistan (USEFP) and organized a Workshop on GRE and Fulbright Scholarship.  Regional Educational Advising Coordinator of the USEFP, Ms. Karen Bauer visited Lincoln Corner. Education USA Advisor Maryam Khan began the session about the importance and the steps to take GRE and what steps to take while applying for Ed...ucation in the US, be it Fulbright or otherwise. Zeeshan Rahat Kureshi, Principal Test Advisor at the USEFP, then took over the session and guided the participants through the process of Fulbright applications and the steps to be taken, including paying focus on how to prepare for GRE.  In her closing remarks, Ms. Karen Bauer encouraged more Pakistani students to apply for Fulbright and stressed on the importance of the experience. Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore",{'Tahir Khalil': {'text': 'Jawad wo mock test ki mail aai abi tk?'}}
Glimpses from the exciting Certified Mindful Happiness short course at ITU!  Zaheer Sarwar Farzana Shahid Hajira Kureshi Zeeshan Ahmad,{'Zubair Gill': {'text': 'Nice Efforts by ITU'}}
"Glimpses from today's panel discussion on ""Issues in Accessing Finance for Tech Startups"" hosted by ITU and the State Bank of Pakistan.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Mishal Niaz Ahmad",{'Zeeshan Aslam': {}}
 Participants consisted of two batches of students: high school students from some of Lahore’s private schools and junior high students from St Joseph and Mary School in Youhanabad. This summer camp will continue for 5 more weeks and in the coming weeks we will introduce the students to basics of electronics and coding.  Zaheer Sarwar Farzana Shahid Hajira Kureshi Sana Khalid US Consulate General Lahore,{}
 Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Mubashir Husayn': {}, 'Malik Hamza': {'text': 'BS,MS,PHD FULLY FUNDED SCHOLARSHIPS AVALIABLE IN CHINA MESSAGE ME INBOX FOR MORE DETAILOR WHATSAPP ON THIS NUMBER 03340022333'}}"
Are you planning to appear in GRE exam soon?  Join GRE Preparation course at ITU and kick start your preparations today!  Course Instructor: Dr. Sameen Motahhir https://itu.edu.pk/faculty-itu/dr-sameen-motahhir/,"{'Salman Afzal': {'text': 'Can you share timings? Thanks'}, 'Mehar Talhaakram': {'text': 'Application deadline 14th June sy agy a gai ha ab'}}"
"Panel Discussion on ""Issues in Accessing Finance for Tech Startups"": ITU, alongwith the State Bank of Pakistan, is set to host an interactive panel discussion on the subject: Issues in Accessing Finance for Tech Startups. Panelists include: Mr. Imran Ahmad (Additional Director, DFSD SBP BSC), Dr. Farrah Arif (CEO and Founder, EdTech Worx), Dr. Bashir Ahmad Khan (Dean, ITU School of Business and Management), Mr. Ahsan Amjad (SVP/Head of Retail Assets, JS Bank) and Mr. Faisal Mazhar (Joint Director Payment Systems Department, SBP). Moderator: Dr. Izza Aftab (Head of Economics Department, ITU).  Zaheer Sarwar Farzana Shahid Hajira Kureshi Bashir Ahmad Khan Mishal Niaz Ahmad","{'Tahir Mahmood': {}, 'Abdullah Sajjad': {'text': 'Information Technology University please share live feed of the talk as well'}}"
 Apply online: https://itu.edu.pk Zaheer Sarwar Farzana Shahid Hajira Kureshi Adeel Ahmed,"{'Ubaid Jani': {}, 'Mohammad Sajjad Hossain': {}}"
Join ITU for fully funded PhD positions in Embedded Computing Lab.  We are working in the following research areas: - Information Security [harware/software] - Blockchain Technology... - Approximate Computing - Real-time & Mixed Criticality Systems,"{'Jude Junior': {}, 'Rabia Rasheed': {}}"
